"year","percent_cement","percent_coal","percent_flaring","percent_gas","percent_land_use_change","percent_oil","percent_other","percent_trade","?column?"
1990,"1.7960904550700107","30.68637133960798","0.917880363029741","14.60350530855396","19.30831499973022","32.832253172961934","0.8345377924056256","-1.484358165488959","97.17819478858644"
1991,"1.8277781833568238","30.248271177930672","1.0059014234334633","14.949677366007446","17.490964795573262","35.12180625124778","0.797715526360486","-2.518154214727784","96.17794929632863"
1992,"1.9200704258850212","29.80655193967587","0.8761448779728337","15.44514939593293","19.07841106786947","33.1364561421843","0.8012980434832149","-1.799469468922398","96.4974231713614"
1993,"1.9890160196790063","30.137630948810237","0.8475146089006553","15.940333536804447","18.155995017969097","33.26568219861985","0.7915046285386039","-1.4705587238939497","96.75379985961801"
1994,"2.035468364108193","28.99748435900053","1.0598717427308224","15.43303681605781","20.75088322645228","32.076894616438665","0.7566831824725446","-1.0801616436831103","96.95042602797047"
1995,"2.1337293523413576","29.602783278033186","1.0932471004033817","15.724324688841996","19.647291349864744","32.18247839098272","0.7771970133552046","-1.0016368736599066","96.96819763799652"
1996,"2.080209957481706","29.058474418625757","1.125569624761571","15.84064357601037","20.578429775582418","31.760114803439805","0.7351117894860164","-0.8418708149435417","97.34368658645931"
1997,"2.06048182203207","27.44533918368853","1.0908602685039606","15.12799301710017","24.155088158377147","30.60853104673221","0.7058377227750199","-0.8000254677605831","97.45665039217769"
1998,"2.1275423091799217","27.772997796975613","1.0869626611238663","16.04318689416474","21.402130030729232","32.162249285906924","0.7225707549649752","-1.1304842575549217","96.93325673759713"
1999,"2.214458965348551","27.88532291227501","1.065534170998436","16.40418290665476","20.37492315244624","32.71040426197741","0.7171131713278327","-0.9953933852358161","97.30262807794374"
2000,"2.3222539214909617","29.198499689420295","1.124813839697838","16.925937187149632","17.965344609120734","33.19493615326608","0.7166899688576759","-1.0350367318157245","97.35026464431014"
2001,"2.435407922311286","29.717044651342118","1.0987873919818887","17.255171339909552","16.382876894586307","33.85575996782947","0.7140205552992034","-1.1171009794157234","97.14882009128671"
2002,"2.4477582117992234","29.958618011594446","1.0523879091076953","17.208752110888422","17.359917081693148","32.72824155850187","0.7012460773466087","-1.106162774478927","96.7252533451931"
2003,"2.4854174752496996","30.204457322525776","1.0414660826660092","16.744356095861043","18.968943208430534","31.30917051472881","0.6712048572737143","-0.8636106801927589","97.06055513915929"
2004,"2.585419207305266","30.929176027223605","1.0365963635823352","17.23278205029001","16.89498246465151","32.12118492009097","0.6981487729189504","-0.7022071172800612","97.36408749501719"
2005,"2.74152440870034","32.3941827946448","1.049723682003198","17.513605759812272","14.931388312528128","32.194197920853256","0.7223555386568399","-0.3915310599065962","97.84246877023828"
2006,"2.87422649066878","33.02980192252223","1.0208710057119423","17.450980145612075","15.117903554373719","31.334303659809198","0.7284391484567879","-0.29709118623102865","98.00265281855158"
2007,"3.0818359178828847","34.47014494893262","1.0214310425872088","17.924309319077114","13.14089066096452","31.230505870083565","0.7455588241861606","0.07651800255763994","98.24690965492748"
2008,"3.050119165343536","34.70418517446875","0.9627993523333904","18.103213913808027","13.44800816628985","30.59061665592223","0.7287568324260038","0.08267834749496929","97.81712430172736"
2009,"3.087734744392622","34.033397297412826","0.9513064695059124","17.57165662068793","15.25971163292612","29.95386599827189","0.6685189994477025","-0.2917920113698027","96.95646273156814"
2010,"3.1501386291528646","34.871155434607964","0.9515166687574839","18.17781103716333","14.180369185225997","29.55781522056658","0.6556397336357678","-0.2673391848330478","96.79780147094841"
2011,"3.287614432536486","35.79787833956332","0.9773246514967223","18.112206461572644","13.910469131269165","28.754896418357927","0.7073356074926325","-0.30030283173551015","96.51275236558863"
2012,"3.304239138520505","35.58130001192221","1.0037593141166474","18.030438767598653","14.279752774630913","28.60489983469299","0.6960614632770141","-0.33710485510698474","96.7995247703965"
2013,"3.481751250837287","36.16004640911941","1.0343550440607838","18.279236065290167","12.747903118461208","29.087624735231397","0.7462153191556287","-0.4673752897889213","96.87271734258466"
2014,"3.551144171544222","35.47423769530547","1.0072702791600159","18.131477806897568","13.998721984073487","28.605867643609855","0.7566269739925895","-0.4777240173994675","97.25342877891107"
2015,"3.379145920615504","34.231422169134156","0.9793798526352626","18.190002232404616","15.182159141334783","28.826162909676416","0.7404343906406754","-0.7662590532495488","97.18380319866479"
2016,"3.56204298847303","34.340406697815425","0.9892356161928177","19.22306903961955","12.832024810488361","29.89361348095267","0.7508138106585113","-0.9036413151246827","96.96962354513914"
2017,"3.558375425773232","34.12600585968012","1.0112371797547328","19.323584074228233","12.982916992267803","29.859516608641812","0.7448150066667284","-0.972262288106121","96.936604998561"
2018,"3.6768124655601357","34.41128260746151","1.0541010819648895","20.106910087224744","11.937433014979339","29.685562097493957","0.7437651018932459","-0.7756438290339095","97.44263729472944"
2019,"3.7267043464184675","33.62883348935686","1.1077751102942122","20.051041874543383","12.847321976876545","29.47503912007873","0.7327554324877801","-0.8145130139033661","97.54684088769818"
2020,"3.9686160585085863","34.12485419509614","1.0785815690009786","20.898920209797918","12.865006109734127","27.654966183832432","0.7449013661539357","-0.7962083461645312","97.35814611337246"
2021,"3.9257844830072313","34.247326278016985","1.044836184176973","20.907916400275838","12.716509931694972","27.77166376065784","0.7296320189611313","-0.6945727024491762","97.47148600005326"
2022,"3.721923387036862","34.55876546454858","1.0251722512593997","20.190495165807576","12.688254287604787","28.4932551429395","0.7263827770003121","0","28.427553204962717"
